,Frame,prox,dist,prox_filtered,dist_filtered
279,279,17,9,17.0,13.0
280,280,18,10,17.0,13.0
281,281,18,11,17.0,13.0
282,282,19,12,17.0,13.0
283,283,20,11,16.0,13.0
284,284,19,12,16.0,13.0
285,285,3,12,16.0,13.0
286,286,4,14,15.0,13.0
287,287,0,12,15.0,13.0
288,288,19,17,15.0,13.0
289,289,19,12,15.0,13.0
290,290,19,12,15.0,13.0
291,291,20,15,15.0,13.0
292,292,20,12,15.0,13.0
293,293,18,14,15.0,13.0
294,294,20,19,15.0,13.0
295,295,0,12,15.0,14.0
296,296,19,13,15.0,14.0
297,297,0,12,15.0,14.0
298,298,1,13,15.0,14.0
299,299,19,17,16.0,14.0
300,300,20,17,16.0,14.0
301,301,19,12,16.0,14.0
302,302,19,14,16.0,14.0
303,303,20,15,16.0,14.0
304,304,20,7,16.0,14.0
305,305,18,17,15.0,14.0
306,306,18,13,15.0,14.0
307,307,20,16,15.0,14.0
308,308,17,13,16.0,14.0
309,309,12,14,15.0,14.0
310,310,13,18,16.0,14.0
311,311,18,9,16.0,14.0
312,312,19,12,15.0,13.0
313,313,16,13,15.0,13.0
314,314,11,16,15.0,13.0
315,315,17,16,15.0,13.0
316,316,14,15,15.0,12.0
317,317,17,17,14.0,12.0
318,318,17,15,14.0,12.0
319,319,8,13,14.0,11.0
320,320,16,12,14.0,11.0
321,321,10,12,14.0,11.0
322,322,10,9,14.0,11.0
323,323,10,10,14.0,10.0
324,324,8,12,14.0,10.0
325,325,11,9,14.0,9.0
326,326,9,9,14.0,9.0
327,327,15,4,14.0,9.0
328,328,19,8,14.0,8.0
329,329,18,1,13.0,8.0
330,330,13,5,13.0,8.0
331,331,19,6,13.0,8.0
332,332,19,10,13.0,8.0
333,333,10,6,13.0,8.0
334,334,17,14,13.0,7.0
335,335,18,0,13.0,8.0
336,336,18,0,13.0,8.0
337,337,17,5,13.0,8.0
338,338,18,4,13.0,8.0
339,339,9,3,13.0,8.0
340,340,3,12,13.0,8.0
341,341,8,9,12.0,8.0
342,342,4,13,12.0,8.0
343,343,8,11,12.0,8.0
344,344,13,7,11.0,8.0
345,345,13,9,11.0,8.0
346,346,13,10,11.0,9.0
347,347,10,12,11.0,8.0
348,348,8,14,10.0,9.0
349,349,8,9,9.0,9.0
350,350,12,11,10.0,9.0
351,351,12,10,9.0,9.0
352,352,6,12,10.0,10.0
353,353,8,8,10.0,10.0
354,354,12,10,10.0,10.0
355,355,12,7,11.0,10.0
356,356,8,4,11.0,10.0
357,357,9,9,10.0,10.0
358,358,17,10,10.0,10.0
359,359,4,12,9.0,10.0
360,360,5,9,9.0,10.0
361,361,0,8,10.0,10.0
362,362,18,5,10.0,9.0
363,363,17,10,10.0,9.0
364,364,18,16,10.0,9.0
365,365,5,5,10.0,9.0
366,366,13,12,10.0,9.0
367,367,14,11,11.0,9.0
368,368,10,13,11.0,9.0
369,369,0,8,11.0,9.0
370,370,0,7,12.0,9.0
371,371,4,10,12.0,9.0
372,372,17,12,12.0,9.0
373,373,17,10,11.0,9.0
374,374,0,0,11.0,9.0
375,375,13,10,11.0,9.0
376,376,15,8,11.0,9.0
377,377,17,5,11.0,9.0
378,378,16,7,12.0,9.0
379,379,17,13,12.0,9.0
380,380,18,10,12.0,9.0
381,381,18,8,12.0,9.0
382,382,18,9,13.0,9.0
383,383,18,7,14.0,9.0
384,384,0,10,14.0,9.0
385,385,4,12,14.0,9.0
386,386,0,6,14.0,9.0
387,387,16,8,14.0,10.0
388,388,16,3,14.0,10.0
389,389,14,10,14.0,10.0
390,390,17,10,14.0,10.0
391,391,18,9,14.0,10.0
392,392,17,14,14.0,10.0
393,393,15,13,14.0,10.0
394,394,19,14,13.0,10.0
395,395,17,14,13.0,10.0
396,396,16,14,12.0,11.0
397,397,12,9,12.0,11.0
398,398,10,13,13.0,11.0
399,399,18,10,14.0,11.0
400,400,16,11,14.0,11.0
401,401,10,15,14.0,11.0
402,402,15,11,14.0,10.0
403,403,17,9,13.0,10.0
404,404,18,12,13.0,10.0
405,405,0,10,13.0,9.0
406,406,0,7,13.0,9.0
407,407,10,11,13.0,9.0
408,408,0,11,13.0,9.0
409,409,17,11,12.0,8.0
410,410,17,10,12.0,8.0
411,411,17,14,12.0,8.0
412,412,18,6,12.0,8.0
413,413,18,0,12.0,8.0
414,414,10,0,12.0,8.0
415,415,10,0,11.0,8.0
416,416,18,11,11.0,8.0
417,417,10,0,11.0,8.0
418,418,10,3,12.0,8.0
419,419,18,12,12.0,8.0
420,420,10,7,11.0,8.0
421,421,10,0,12.0,8.0
422,422,0,5,12.0,8.0
423,423,17,14,11.0,8.0
424,424,17,14,11.0,8.0
425,425,12,16,11.0,9.0
426,426,0,16,11.0,9.0
427,427,12,3,11.0,9.0
428,428,0,8,12.0,9.0
429,429,19,10,12.0,9.0
430,430,20,12,12.0,10.0
431,431,5,12,12.0,9.0
432,432,0,12,12.0,9.0
433,433,10,9,12.0,10.0
434,434,10,12,12.0,11.0
435,435,13,16,13.0,11.0
436,436,12,14,13.0,11.0
437,437,17,9,13.0,10.0
438,438,17,9,12.0,10.0
439,439,18,9,13.0,9.0
440,440,17,3,13.0,10.0
441,441,17,5,14.0,10.0
442,442,18,9,14.0,11.0
443,443,18,1,14.0,11.0
444,444,4,12,13.0,11.0
445,445,10,18,14.0,11.0
446,446,19,15,14.0,11.0
447,447,20,13,15.0,11.0
448,448,18,7,15.0,11.0
449,449,12,7,15.0,10.0
450,450,0,7,15.0,10.0
451,451,17,5,15.0,10.0
452,452,17,15,15.0,10.0
453,453,17,15,15.0,10.0
454,454,19,20,15.0,10.0
455,455,17,17,15.0,10.0
456,456,0,12,15.0,11.0
457,457,16,15,16.0,10.0
458,458,17,8,16.0,10.0
459,459,20,10,16.0,9.0
460,460,17,8,16.0,9.0
461,461,16,7,16.0,9.0
462,462,18,1,16.0,9.0
463,463,18,4,17.0,9.0
464,464,15,11,17.0,9.0
465,465,17,12,17.0,8.0
466,466,14,2,17.0,8.0
467,467,17,10,17.0,8.0
468,468,18,15,17.0,7.0
469,469,19,2,18.0,7.0
